Visuals:	Character:	Section:	Text:	Responses	Date response:	Points
		Question:	What do you look for in an opponent?	His heart!		
			If you could see me in anything, what would it be?	A vat of ooze!		
			What’s your dream match?	Shlimepit! Pit! Pit!		
						
Date 9:	Stoney	Intro:	Finally! Stoney has come back to Cuddle Town!	Sup Stones?!		1
				Let's rock Stoney!		2
				Nope!		0
		Question:	Stoney wants to know; can you smell what Stoney is cooking?	Yes! Smells great!	Stoney thinks so too!	1
				Yes. I think I'm going to be sick.	Whaaaaaa?!?	0
				Yes! Smells like the People's Croissant! I want a bite!	Hehe! Doesn't everyone?	2
		Question:	What do you look for in an opponent?	Stoney looks for a hard man!		
			If you could see me in anything, what would it be?	Stoney would want to see you caked in volcanic ash.		
			What’s your dream match?	Stoney's Stoner Stone-throwing Stone Zone.		
						
Date 10	Senor Sunshine	Intro:	Hola! Today you face death, and his name is Señor Sunshine!	Hola!		1
				Why would anyone make you?		0
				Hug me now.		2
		Question:	¿Tiene mascotas?	I'm sorry, I don't know what that means.	You fool! I will smother you to death!	0
				Mis pantalones huelen a basura.	¡¿Qué?!	1
				Quiero que seas mi mascota.	Stroke me and let's see how it goes!	2
		Question:	What do you look for in an opponent?	Strong cuddle-factor!		
			If you could see me in anything, what would it be?	Covered in honey and pink glitter!		
			What’s your dream match?	Wrestling in giant panda suits!		
						
Date 11	Jake The Gerbil	Intro:	Greetings human! I'm Jake the Gerbil!	Hi Jake!		1
				Cuuuuuute!		2
				Wait; is this the man or gerbil speaking here?		0
		Question:	What's your policy on pets?	I love them! Little friends are always welcome in the ring!	Sounds like this might work!	2
				No pets allowed!	Well then! No DDT for you!	0
				If they play well with my cat they're okay!	I don't think this is going to work	0
		Question:	What do you look for in an opponent?	Good nuts.		
			If you could see me in anything, what would it be?	Hamster suit.		
			What’s your dream match?	You, me, and a jar of mixed seeds and nuts.		
						
Choice time:	Manny McMan		Times up! Well there you had it! 6 wonderful wrestler! 6 potential matches! But there can be only one! Who will it be? Let's find out! Who were your three favorites dates??			
	Menu		Favourite select			
	A fine choice! Now let's see what they thought of you!					
	Play score screen		Show scores - highlight date			
						
End cutscene						
credits						
